tweet_id,timestamp_x,source,text,retweeted_status_timestamp,rating_numerator,name,timestamp_y,favourites_count,retweets_count,dog_type,breed,CI
892177421306343426,2017-08-01 00:17:27 +0000,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",,13,Tilly,Tue Aug 01 00:17:27 +0000 2017,29264,5283,,Chihuahua,0.323581
891815181378084864,2017-07-31 00:18:03 +0000,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,,12,Archie,Mon Jul 31 00:18:03 +0000 2017,22000,3468,,Chihuahua,0.716012
891327558926688256,2017-07-29 16:00:24 +0000,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",,12,Franklin,Sat Jul 29 16:00:24 +0000 2017,35230,7726,,basset,0.555712
890609185150312448,2017-07-27 16:25:51 +0000,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,,13,Zoey,Thu Jul 27 16:25:51 +0000 2017,24453,3607,,Irish terrier,0.487574
890240255349198849,2017-07-26 15:59:51 +0000,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,,14,Cassie,Wed Jul 26 15:59:51 +0000 2017,27889,6085,doggo,Pembroke,0.511319
890006608113172480,2017-07-26 00:31:25 +0000,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,,13,Koda,Wed Jul 26 00:31:25 +0000 2017,26980,6123,,Samoyed,0.957979
889638837579907072,2017-07-25 00:10:02 +0000,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,,12,Ted,Tue Jul 25 00:10:02 +0000 2017,23606,3703,,French bulldog,0.99165
889531135344209921,2017-07-24 17:02:04 +0000,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,,13,Stuart,Mon Jul 24 17:02:04 +0000 2017,13322,1875,puppo,golden retriever,0.953442
889278841981685760,2017-07-24 00:19:32 +0000,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,,13,Oliver,Mon Jul 24 00:19:32 +0000 2017,22062,4429,,whippet,0.626152
888917238123831296,2017-07-23 00:22:39 +0000,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,,12,Jim,Sun Jul 23 00:22:39 +0000 2017,25560,3749,,golden retriever,0.714719
888804989199671297,2017-07-22 16:56:37 +0000,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,,13,Zeke,Sat Jul 22 16:56:37 +0000 2017,22411,3518,,golden retriever,0.46976
888554962724278272,2017-07-22 00:23:06 +0000,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,,13,Ralphus,Sat Jul 22 00:23:06 +0000 2017,17275,2869,,Siberian husky,0.700377
888078434458587136,2017-07-20 16:49:33 +0000,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,,12,Gerald,Thu Jul 20 16:49:33 +0000 2017,19119,2888,,French bulldog,0.995026
887705289381826560,2017-07-19 16:06:48 +0000,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,,13,Jeffrey,Wed Jul 19 16:06:48 +0000 2017,26558,4523,,basset,0.821664
887473957103951883,2017-07-19 00:47:34 +0000,Twitter for iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,,13,Canela,Wed Jul 19 00:47:34 +0000 2017,60054,14983,,Pembroke,0.809197
886736880519319552,2017-07-16 23:58:41 +0000,Twitter for iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",,13,Mingus,Sun Jul 16 23:58:41 +0000 2017,10473,2621,,kuvasz,0.309706
886366144734445568,2017-07-15 23:25:31 +0000,Twitter for iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,,12,Roscoe,Sat Jul 15 23:25:31 +0000 2017,18509,2618,pupper,French bulldog,0.999201
885984800019947520,2017-07-14 22:10:11 +0000,Twitter for iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,,12,Jimbo,Fri Jul 14 22:10:11 +0000 2017,28545,5595,,Blenheim spaniel,0.972494
885528943205470208,2017-07-13 15:58:47 +0000,Twitter for iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,,13,Maisey,Thu Jul 13 15:58:47 +0000 2017,31527,5313,,pug,0.369275
884925521741709313,2017-07-12 00:01:00 +0000,Twitter for iPhone,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",,12,Earl,Wed Jul 12 00:01:00 +0000 2017,67133,14968,,Italian greyhound,0.259916
884876753390489601,2017-07-11 20:47:12 +0000,Twitter for iPhone,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,,13,Lola,Tue Jul 11 20:47:12 +0000 2017,24331,4649,,chow,0.822103
884562892145688576,2017-07-11 00:00:02 +0000,Twitter for iPhone,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,,13,Kevin,Tue Jul 11 00:00:02 +0000 2017,21274,3900,,pug,0.5464060000000001
884162670584377345,2017-07-09 21:29:42 +0000,Twitter for iPhone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,,12,Yogi,Sun Jul 09 21:29:42 +0000 2017,17913,2496,doggo,German shepherd,0.707046
883838122936631299,2017-07-09 00:00:04 +0000,Twitter for iPhone,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,,12,Noah,Sun Jul 09 00:00:04 +0000 2017,19116,2850,,Doberman,0.610946
883482846933004288,2017-07-08 00:28:19 +0000,Twitter for iPhone,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",,5,Bella,Sat Jul 08 00:28:19 +0000 2017,40100,8234,,golden retriever,0.943082
883360690899218434,2017-07-07 16:22:55 +0000,Twitter for iPhone,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,,13,Grizzwald,Fri Jul 07 16:22:55 +0000 2017,19903,3062,floofer,chow,0.987997
882762694511734784,2017-07-06 00:46:41 +0000,Twitter for iPhone,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,,12,Gus,Thu Jul 06 00:46:41 +0000 2017,24735,4083,pupper,Labrador retriever,0.85005
882627270321602560,2017-07-05 15:48:34 +0000,Twitter for iPhone,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,,13,Stanley,Wed Jul 05 15:48:34 +0000 2017,24548,5049,,Pembroke,0.542982
882268110199369728,2017-07-04 16:01:23 +0000,Twitter for iPhone,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,,13,Alfy,Tue Jul 04 16:01:23 +0000 2017,39096,9597,,golden retriever,0.762211
881666595344535552,2017-07-03 00:11:11 +0000,Twitter for iPhone,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,,13,Gary,Mon Jul 03 00:11:11 +0000 2017,44443,8925,pupper,Saluki,0.529012
880465832366813184,2017-06-29 16:39:47 +0000,Twitter for iPhone,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw,,12,Bella,Thu Jun 29 16:39:47 +0000 2017,24973,5201,,golden retriever,0.913255
879862464715927552,2017-06-28 00:42:13 +0000,Twitter for iPhone,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9,,13,Romeo,Wed Jun 28 00:42:13 +0000 2017,19664,2917,,basset,0.813507
879415818425184262,2017-06-26 19:07:24 +0000,Twitter for iPhone,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY,,13,Duddles,Mon Jun 26 19:07:24 +0000 2017,92629,37330,,English springer,0.383404
879008229531029506,2017-06-25 16:07:47 +0000,Twitter for iPhone,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN,,13,Beau,Sun Jun 25 16:07:47 +0000 2017,16748,2233,,vizsla,0.960513
878776093423087618,2017-06-25 00:45:22 +0000,Twitter for iPhone,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth https://t.co/lNZwgNO4gS,,13,Snoopy,Sun Jun 25 00:45:22 +0000 2017,17106,3422,,Italian greyhound,0.734684
878281511006478336,2017-06-23 16:00:04 +0000,Twitter for iPhone,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https://t.co/245xJJElsY https://t.co/lUiQH219v6",,13,Shadow,Fri Jun 23 16:00:04 +0000 2017,6765,1074,,basset,0.32042
878057613040115712,2017-06-23 01:10:23 +0000,Twitter for iPhone,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe,,14,Emmy,Fri Jun 23 01:10:23 +0000 2017,37080,5719,,French bulldog,0.839097
877736472329191424,2017-06-22 03:54:17 +0000,Twitter for iPhone,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again https://t.co/lsPyyAiF1r,,13,Aja,Thu Jun 22 03:54:17 +0000 2017,69129,15754,,Chesapeake Bay retriever,0.8379559999999999
877316821321428993,2017-06-21 00:06:44 +0000,Twitter for iPhone,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy https://t.co/SHRTIo5pxc",,13,Dante,Wed Jun 21 00:06:44 +0000 2017,24094,4329,,Saluki,0.5099670000000001
877201837425926144,2017-06-20 16:29:50 +0000,Twitter for iPhone,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop https://t.co/4g4cfj3P4Y,,12,Nelly,Tue Jun 20 16:29:50 +0000 2017,23822,4610,,Pembroke,0.93112
876838120628539392,2017-06-19 16:24:33 +0000,Twitter for iPhone,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately https://t.co/j211oCDRs6,,12,Ginger,Mon Jun 19 16:24:33 +0000 2017,18187,2797,pupper,bloodhound,0.575751
876484053909872640,2017-06-18 16:57:37 +0000,Twitter for iPhone,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy https://t.co/26BXueUgbs,,13,Benedict,Sun Jun 18 16:57:37 +0000 2017,16529,1992,,golden retriever,0.874566
876120275196170240,2017-06-17 16:52:05 +0000,Twitter for iPhone,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. 13/10 much excite https://t.co/ejExJFq3ek",,13,Venti,Sat Jun 17 16:52:05 +0000 2017,24640,3893,puppo,Bernese mountain dog,0.534327
875747767867523072,2017-06-16 16:11:53 +0000,Twitter for iPhone,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl https://t.co/V2WlACRJCN",,13,Goose,Fri Jun 16 16:11:53 +0000 2017,22059,3573,,Labrador retriever,0.799551
874680097055178752,2017-06-13 17:29:20 +0000,Twitter for iPhone,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly https://t.co/lZhtizkURD,,12,Cash,Tue Jun 13 17:29:20 +0000 2017,24557,3910,,Labrador retriever,0.836052
874296783580663808,2017-06-12 16:06:11 +0000,Twitter for iPhone,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm,,13,Jed,Mon Jun 12 16:06:11 +0000 2017,22915,3473,pupper,cocker spaniel,0.437216
874012996292530176,2017-06-11 21:18:31 +0000,Twitter for iPhone,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo https://t.co/XBE0evJZ6V",,13,Sebastian,Sun Jun 11 21:18:31 +0000 2017,30058,8568,puppo,Cardigan,0.806674
873213775632977920,2017-06-09 16:22:42 +0000,Twitter for iPhone,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ",,12,Sierra,Fri Jun 09 16:22:42 +0000 2017,6309,1326,pupper,vizsla,0.6197819999999999
872620804844003328,2017-06-08 01:06:27 +0000,Twitter for iPhone,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love... https://t.co/lUcpnZDPz9,,13,Monkey,Thu Jun 08 01:06:27 +0000 2017,18291,3059,,cocker spaniel,0.513191
871879754684805121,2017-06-06 00:01:46 +0000,Twitter for iPhone,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. 13/10 https://t.co/uK6PNyeh9w,,13,Lassie,Tue Jun 06 00:01:46 +0000 2017,33012,9217,puppo,Shetland sheepdog,0.969171
871762521631449091,2017-06-05 16:15:56 +0000,Twitter for iPhone,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10 https://t.co/AiVljI6QCg,,12,Rover,Mon Jun 05 16:15:56 +0000 2017,17846,2960,pupper,Labrador retriever,0.921393
870656317836468226,2017-06-02 15:00:16 +0000,Twitter for iPhone,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here: https://t.co/4hxnDOt1CV https://t.co/42ryYRQ2Q4",,13,Cody,Fri Jun 02 15:00:16 +0000 2017,10875,2196,,Pembroke,0.945495
870374049280663552,2017-06-01 20:18:38 +0000,Twitter for iPhone,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it. 13/10 https://t.co/T1xlgaPujm,,13,Zoey,Thu Jun 01 20:18:38 +0000 2017,73807,22688,,golden retriever,0.841001
870308999962521604,2017-06-01 16:00:09 +0000,Twitter for iPhone,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking https://t.co/MVQCzrF1g9",,13,Rumble,Thu Jun 01 16:00:09 +0000 2017,19449,3540,,Greater Swiss Mountain dog,0.6227520000000001
869772420881756160,2017-05-31 04:27:59 +0000,Twitter for iPhone,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly https://t.co/HciEaJkC4D",,13,Dewey,Wed May 31 04:27:59 +0000 2017,37928,8669,,Pembroke,0.980148
869702957897576449,2017-05-30 23:51:58 +0000,Twitter for iPhone,Meet Stanley. He likes road trips. Will shift for you. One ear more effective than other. 13/10 we don't leave until you buckle pup Stanley https://t.co/vmCu3PFCQq,,13,Stanley,Tue May 30 23:51:58 +0000 2017,25001,5368,,Pembroke,0.993449
869227993411051520,2017-05-29 16:24:37 +0000,Twitter for iPhone,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved. 13/10 would boop well https://t.co/IoR3n1fiiQ,,13,Gizmo,Mon May 29 16:24:37 +0000 2017,18096,3192,,Pembroke,0.664181
868552278524837888,2017-05-27 19:39:34 +0000,Twitter for iPhone,"Say hello to Cooper. His expression is the same wet or dry. Absolute 12/10 but Coop desperately requests your help

https://t.co/ZMTE4Mr69f https://t.co/7RyeXTYLNi",,12,Cooper,Sat May 27 19:39:34 +0000 2017,8948,1745,,whippet,0.378151
